Frequency (MHz),Channel 1 Voltages (V),Channel 2 Voltages (V),RF Input Power (dBm),RF Output Power (dBm),Gain,Channel 1 DC Current (A),Channel 2 DC Current (A),Channel 1 DC Power (W),Channel 2 DC Power (W),Total DC Drain Current (A),Total DC Gate Current (A),Total DC Drain Power (W),Total DC Gate Power (W),DE (%),PAE (%)
3000,12,3,-13.85282379,21.58496014,35.43778393,0.966922655,0,11.60307186,0,0.966922655,0,11.60307186,0,1.241432274,1.241077342
3000,12,3,-12.85282379,22.54396931,35.3967931,0.969534714,0,11.63441657,0,0.969534714,0,11.63441657,0,1.544017866,1.543572237
3000,12,3,-11.85282379,23.58529392,35.43811771,0.972799688,0,11.67359625,0,0.972799688,0,11.67359625,0,1.95580127,1.95524214
3000,12,3,-10.85282379,24.53254429,35.38536808,0.976064861,0,11.71277833,0,0.976064861,0,11.71277833,0,2.424345458,2.423643909
3000,12,3,-9.85282379,25.53205792,35.38488171,0.979982849,0,11.75979419,0,0.979982849,0,11.75979419,0,3.039527454,3.038647788
3000,12,3,-8.85282379,26.4949886,35.34781239,0.985859981,0,11.83031978,0,0.985859981,0,11.83031978,0,3.77139808,3.770297248
3000,12,3,-7.85282379,27.55591122,35.40873501,0.993043043,0,11.91651652,0,0.993043043,0,11.91651652,0,4.780153056,4.778777215
3000,12,3,-6.85282379,28.49270931,35.3455331,1.002185549,0,12.02622658,0,1.002185549,0,12.02622658,0,5.876808637,5.875092357
3000,12,3,-5.85282379,29.49614254,35.34896633,1.013286798,0,12.15944158,0,1.013286798,0,12.15944158,0,7.323195421,7.321058424
3000,12,3,-4.85282379,30.38329331,35.2361171,1.027652122,0,12.33182546,0,1.027652122,0,12.33182546,0,8.857312373,8.85465966
3000,12,3,-3.85282379,31.3449165,35.19774029,1.049201607,0,12.59041928,0,1.049201607,0,12.59041928,0,10.82558705,10.82231608
3000,12,3,-2.85282379,32.23729244,35.09011623,1.077281238,0,12.92737486,0,1.077281238,0,12.92737486,0,12.94848333,12.94447275
3000,12,3,-1.85282379,33.08132664,34.93415043,1.114503076,0,13.37403691,0,1.114503076,0,13.37403691,0,15.20092956,15.19604916
3000,12,3,-0.85282379,33.80515782,34.65798161,1.154988987,0,13.85986784,0,1.154988987,0,13.85986784,0,17.3283293,17.32240061
3000,12,3,0.14717621,34.5120031,34.36482689,1.203312074,0,14.43974489,0,1.203312074,0,14.43974489,0,19.57225158,19.56508753
3000,12,3,1.14717621,35.04899613,33.90181992,1.252288176,0,15.02745811,0,1.252288176,0,15.02745811,0,21.28208074,21.27341447
3000,12,3,2.14717621,35.34166447,33.19448826,1.286896955,0,15.44276345,0,1.286896955,0,15.44276345,0,22.15345297,22.1428362
3000,12,3,3.14717621,35.51021019,32.36303398,1.308446439,0,15.70135727,0,1.308446439,0,15.70135727,0,22.6508145,22.6376689
3000,12,3,4.14717621,35.62257401,31.4753978,1.326730851,0,15.92077021,0,1.326730851,0,15.92077021,0,22.92415449,22.90783323
3000,12,3,5.14717621,35.70619312,30.55901691,1.344362247,0,16.13234697,0,1.344362247,0,16.13234697,0,23.06331647,23.0430387
3000,12,3,6.14717621,35.7244846,29.57730839,1.356116512,0,16.27339814,0,1.356116512,0,16.27339814,0,22.9599115,22.93460458
3000,12,3,7.14717621,35.72187153,28.57469532,1.358075556,0,16.29690667,0,1.358075556,0,16.29690667,0,22.91300102,22.88118745
3000,12,3,8.14717621,35.71403233,27.56685612,1.367217762,0,16.40661314,0,1.367217762,0,16.40661314,0,22.7187428,22.67895969
3000,12,3,9.14717621,35.70619312,26.55901691,1.377665997,0,16.53199196,0,1.377665997,0,16.53199196,0,22.50578299,22.45607887
4000,12,3,-30.98558217,4.276162174,35.26174434,0.959739594,0,11.51687512,0,0.959739594,0,11.51687512,0,0.023242431,0.023235511
4000,12,3,-29.98558217,5.380200413,35.36578258,0.960392608,0,11.5247113,0,0.960392608,0,11.5247113,0,0.029949528,0.029940822
4000,12,3,-28.98558217,6.442429569,35.42801174,0.961045623,0,11.53254748,0,0.961045623,0,11.53254748,0,0.038222378,0.038211426
4000,12,3,-27.98558217,7.37400153,35.3595837,0.961045623,0,11.53254748,0,0.961045623,0,11.53254748,0,0.047366893,0.047353105
