Theta (deg),Phi (deg),Frequency (MHz),Gain (dBi),Return Loss (dB),Return Loss (deg),Return Loss Reference (dB),Return Loss Reference (deg),Insertion Loss (dB),Intertion Loss (deg),Absolute Gain (dBi),Insertion (deg)
0,0,905,3.922349152,-16.77290535,33.37927246,6.031423092,-123.9569778,-23.86109734,0,4.014627438,-59.58597565
0,0,906,3.913729483,-16.62072945,33.27779388,6.114621162,-113.4820633,-23.86268044,0,4.009334982,-61.25582123
0,0,907,3.904953379,-16.49227333,33.16248703,6.176486969,-102.9857941,-23.86462975,0,4.003461738,-62.92687988
0,0,908,3.89613135,-16.38442039,33.04108429,6.196633816,-92.46748352,-23.86685181,0,3.99714573,-64.59915924
0,0,909,3.887303335,-16.29186058,32.91874695,6.172974586,-81.9300766,-23.86932373,0,3.99051977,-66.27265167
0,0,910,3.878436793,-16.20932007,32.7983551,6.12928915,-71.37419891,-23.87209511,0,3.983657869,-67.94737244
0,0,911,3.869762619,-16.13143539,32.68076706,6.079550266,-60.80181885,-23.87495041,0,3.97691139,-69.62329865
0,0,912,3.861152103,-16.05175781,32.56654358,6.037537098,-50.21661377,-23.87802696,0,3.970309957,-71.30044556
0,0,913,3.852778119,-15.96460819,32.45590591,6.010345459,-39.61813736,-23.88115883,0,3.964177182,-72.97880554
0,0,914,3.84467049,-15.86609173,32.34894562,6.005858421,-29.00662804,-23.88432312,0,3.958659271,-74.65836334
0,0,915,3.836757947,-15.75292206,32.24575043,6.02592659,-18.38440323,-23.88759804,0,3.953797032,-76.33917999
0,0,916,3.829135164,-15.62464428,32.14597702,6.066706181,-7.746052742,-23.89089584,0,3.94973196,-78.02124786
0,0,917,3.821833869,-15.4841938,32.04921341,6.120839119,2.902885914,-23.89419174,0,3.946451914,-79.70456696
0,0,918,3.814895328,-15.34150505,31.95466042,6.160008907,13.56915569,-23.8974514,0,3.943738087,-81.38913727
0,0,919,3.808152906,-15.20675945,31.86133385,6.187801361,24.24803162,-23.90084839,0,3.941118627,-83.07497406
0,0,920,3.801611631,-15.08649731,31.76629448,6.173614979,34.94478989,-23.90438461,0,3.938370205,-84.7620697
0,0,921,3.795227436,-14.98166275,31.66625214,6.120089531,45.65244293,-23.90810776,0,3.935381893,-86.45040894
0,0,922,3.788901036,-14.89155483,31.55791283,6.053126335,56.38405228,-23.91210747,0,3.932042765,-88.14002991
0,0,923,3.78281975,-14.81328106,31.44376564,6.005110741,67.13653564,-23.91618347,0,3.928608923,-89.83090973
0,0,924,3.776734109,-14.74249268,31.32784843,5.985765457,77.90696716,-23.92057228,0,3.924960413,-91.52304077
0,0,925,3.770846691,-14.6759367,31.21251678,5.964681625,88.69920349,-23.92505836,0,3.921402207,-93.21640015
0,0,926,3.764949991,-14.60834694,31.09922028,5.952336311,99.50506592,-23.92983627,0,3.917909022,-94.91101837
0,0,927,3.759248492,-14.53480625,30.98853683,5.943653107,110.3169327,-23.93468857,0,3.914867047,-96.60689545
0,0,928,3.753738774,-14.45143986,30.88069153,5.932055473,121.1469574,-23.93960571,0,3.912429186,-98.30399323
0,0,929,3.748398348,-14.35509872,30.77608871,5.909099102,131.9897919,-23.94459724,0,3.91071573,-100.0023651
0,0,930,3.743229516,-14.24594688,30.67455292,5.872576237,142.8491516,-23.9496479,0,3.909758356,-101.7019806
0,0,931,3.738166911,-14.12763977,30.57575798,5.8209939,153.7182007,-23.9548111,0,3.909386395,-103.4029083
