Theta (deg),Phi (deg),Frequency (MHz),Gain (dBi),Return Loss (dB),Return Loss (deg),Return Loss Reference (dB),Return Loss Reference (deg),Insertion Loss (dB),Intertion Loss (deg),Absolute Gain (dBi),Insertion (deg)
0,0,1956,11.45185517,-15.2918539,169.2876892,1.625497103,-166.1236725,-23.34242058,0,11.58220184,77.06174469
0,0,1957,11.45292584,-15.34552479,171.2515869,1.598427653,-158.0455627,-23.35000229,0,11.58164762,74.11401367
0,0,1958,11.45326802,-15.39678192,173.2225342,1.537855506,-149.9737091,-23.35800552,0,11.58045717,71.16681671
0,0,1959,11.45330324,-15.45160961,175.2001038,1.554399729,-141.9078827,-23.36592674,0,11.57887348,68.22024536
0,0,1960,11.4529781,-15.51489735,177.1837769,1.554439187,-133.8489532,-23.37373734,0,11.57670561,65.27423859
0,0,1961,11.4518144,-15.58944321,179.1737061,1.554082274,-125.7969742,-23.38185883,0,11.57340652,62.32887268
0,0,1962,11.45020581,-15.6789341,-178.8293915,1.544035554,-117.7617645,-23.38994217,0,11.56928371,59.38422775
0,0,1963,11.44821654,-15.786726,-176.8211212,1.536450982,-109.7838745,-23.39799309,0,11.56433593,56.44024277
0,0,1964,11.44610346,-15.91600895,-174.783783,1.508713365,-101.8315125,-23.40582466,0,11.55877253,53.49690628
0,0,1965,11.44363135,-16.07406616,-172.7198486,1.494100928,-93.90776825,-23.41374207,0,11.55222289,50.55429077
0,0,1966,11.44094073,-16.26776123,-170.6438751,1.475728989,-85.99992371,-23.42167473,0,11.54473843,47.61238098
0,0,1967,11.43806338,-16.48626328,-168.5598145,1.451996088,-78.09833527,-23.4296608,0,11.53670972,44.67118073
0,0,1968,11.43506164,-16.67181969,-166.4678345,1.416136265,-70.20111084,-23.4377079,0,11.52953678,41.73063278
0,0,1969,11.43195203,-16.81484795,-164.3678284,1.414294958,-62.30950165,-23.44586945,0,11.52333402,38.79078293
0,0,1970,11.42868817,-16.9258728,-162.2592468,1.331906557,-54.42316818,-23.45426178,0,11.51773982,35.8515358
0,0,1971,11.42544907,-17.01756859,-160.1422577,1.269042373,-46.54250717,-23.46275902,0,11.51262142,32.91287231
0,0,1972,11.42230079,-17.09835434,-158.0175476,1.199919462,-38.66759872,-23.47128105,0,11.50785066,29.97481728
0,0,1973,11.41893211,-17.17664719,-155.8862,1.113873124,-30.79734039,-23.48010826,0,11.50293866,27.03731155
0,0,1974,11.41567074,-17.2598896,-153.7492371,0.989156008,-22.93207932,-23.48888206,0,11.49806722,24.10038757
0,0,1975,11.41207766,-17.35217285,-151.6071472,0.858574152,-15.0678978,-23.49801064,0,11.49272558,21.16396523
0,0,1976,11.40849395,-17.45630646,-149.4597778,0.729278922,-7.141449928,-23.50712204,0,11.4872137,18.22804642
0,0,1977,11.40477431,-17.57453728,-147.3058777,0.590032399,0.794580519,-23.51633072,0,11.48136117,15.29268932
0,0,1978,11.40113584,-17.71107292,-145.1376038,0.51671046,8.725507736,-23.52538872,0,11.47533202,12.35787582
0,0,1979,11.39719483,-17.8688221,-142.9166565,0.447334886,16.65499496,-23.5346489,0,11.46872242,9.423570633
0,0,1980,11.39323514,-18.05730247,-140.6832886,0.416785359,24.58316994,-23.54379654,0,11.46170081,6.489802361
0,0,1981,11.38888531,-18.29271126,-138.4428711,0.448731363,32.51159668,-23.55319214,0,11.45371149,3.556550503
0,0,1982,11.38435699,-18.59799004,-136.1948242,0.550239623,40.44235992,-23.56269264,0,11.44475207,0.623764277
0,0,1983,11.37948306,-18.8543396,-133.937973,0.619787157,48.37268448,-23.57255363,0,11.43639361,-2.308596134
0,0,1984,11.37450079,-19.04398155,-131.6708069,0.596637905,56.29571152,-23.58262634,0,11.42896441,-5.240581512
0,0,1985,11.36957686,-19.19312096,-129.3935089,0.515657365,64.22614288,-23.59283257,0,11.42219073,-8.172105789
0,0,1986,11.36443734,-19.3170929,-127.1076736,0.38492009,72.1614151,-23.6035347,0,11.4155618,-11.10333538
0,0,1987,11.35955219,-19.42805862,-124.8149414,0.227255687,80.12088776,-23.61435127,0,11.4093795,-14.03424644
0,0,1988,11.35472188,-19.53478622,-122.5165482,0.14995791,88.07611084,-23.6255703,0,11.40333282,-16.9647541
0,0,1989,11.35045451,-19.64344788,-120.2132797,0.117897734,96.01230621,-23.63677216,0,11.3978577,-19.89500809
0,0,1990,11.34666689,-19.75667191,-117.9049759,0.121964656,103.9375153,-23.64812851,0,11.3928437,-22.82494164
0,0,1991,11.34359398,-19.87549019,-115.5911331,0.153915495,111.8591385,-23.6594677,0,11.3885181,-25.75466156
0,0,1992,11.34103049,-20.00010681,-113.2665405,0.219555289,119.783844,-23.67095757,0,11.38467746,-28.68411446
0,0,1993,11.33899198,-20.13095093,-110.8986969,0.324350536,127.7078552,-23.68251991,0,11.38133724,-31.61328506
0,0,1994,11.33748831,-20.26867485,-108.5104141,0.518606126,135.634201,-23.69408226,0,11.37850552,-34.54227066
0,0,1995,11.33626802,-20.41458702,-106.1128387,0.719821393,143.5652771,-23.70583344,0,11.37592383,-37.47099304
0,0,1996,11.33539054,-20.56978226,-103.7065048,0.843090117,151.4945831,-23.71765137,0,11.37364812,-40.39950562
0,0,1997,11.33481422,-20.73944283,-101.2899704,0.911618948,159.4212952,-23.72951508,0,11.37159983,-43.32786942
0,0,1998,11.33428379,-20.92442131,-98.86136627,0.919065237,167.3353729,-23.7416172,0,11.36952926,-46.25605011
0,0,1999,11.3337042,-21.12513542,-96.42184448,0.830336273,175.234375,-23.75399017,0,11.36735164,-49.18405914
0,0,2000,11.33286213,-21.31757355,-93.97328186,0.740742624,-176.8739319,-23.76678467,0,11.36504577,-52.11192322
0,0,2001,11.33203347,-21.47958946,-91.518013,0.71965909,-168.986969,-23.77967453,0,11.36303438,-55.03960037
0,0,2002,11.33094274,-21.61764908,-89.05719757,0.76631391,-161.1101685,-23.79293442,0,11.3609703,-57.96723557
0,0,2003,11.32952141,-21.73859596,-86.59159088,0.855265439,-153.2452698,-23.80664444,0,11.35872148,-60.89470291
0,0,2004,11.32816629,-21.85097885,-84.12124634,0.971000195,-145.3882141,-23.82041931,0,11.35661799,-63.82206726
0,0,2005,11.32681264,-21.9576149,-81.64508057,1.114576936,-137.5335236,-23.83433533,0,11.35457204,-66.74924469
0,0,2006,11.32546821,-22.060709,-79.16066742,1.227402806,-129.6816559,-23.8483963,0,11.35257437,-69.67621613
0,0,2007,11.32387751,-22.16094398,-76.65646362,1.325544834,-121.8250046,-23.86286926,0,11.35036334,-72.60298157
0,0,2008,11.32238398,-22.26062775,-74.11737823,1.411021233,-113.96698,-23.87742233,0,11.348267,-75.5296402
0,0,2009,11.32086946,-22.35799599,-71.55993652,1.476786613,-106.1074524,-23.89218521,0,11.34617697,-78.45613861
0,0,2010,11.3195229,-22.45583344,-68.98834229,1.529036522,-98.24845886,-23.90698051,0,11.34426505,-81.38249969
0,0,2011,11.31816242,-22.55377579,-66.40084839,1.56396687,-90.4124527,-23.92199326,0,11.3423513,-84.30870819
0,0,2012,11.31670993,-22.65470505,-63.79915237,1.641524673,-82.62163544,-23.93727112,0,11.34034163,-87.23493195
0,0,2013,11.31493586,-22.76340485,-61.18691635,1.782887101,-74.83453369,-23.95300484,0,11.33798187,-90.16104126
0,0,2014,11.31315616,-22.88852882,-58.56758118,1.891350627,-67.04806519,-23.96883965,0,11.33554597,-93.0871048
0,0,2015,11.31109548,-23.05166054,-55.94271088,1.966999888,-59.25815964,-23.98501205,0,11.33265782,-96.01316071
0,0,2016,11.30873216,-23.31024361,-53.31288528,2.015145063,-51.46807861,-24.0015049,0,11.32904522,-98.9391861
0,0,2017,11.30595491,-23.53025055,-50.67798996,2.046710253,-43.67483139,-24.01839066,0,11.32526233,-101.8651123
0,0,2018,11.30292517,-23.68310738,-48.03767014,2.064919949,-35.88048553,-24.03546906,0,11.32156342,-104.7909851
0,0,2019,11.29974144,-23.80613518,-45.39113998,2.079942703,-28.09056664,-24.05260277,0,11.31785802,-107.716835
0,0,2020,11.29595482,-23.91006279,-42.73561096,2.08551836,-20.31299782,-24.07020187,0,11.31364214,-110.6425781
0,0,2021,11.29209378,-24.00207329,-40.06400681,2.065942764,-12.54625607,-24.08771706,0,11.30940958,-113.5683136
0,0,2022,11.28786805,-24.08483315,-37.36556244,2.038430691,-4.784845352,-24.10548973,0,11.30485635,-116.4939575
0,0,2023,11.28365189,-24.16068459,-34.64430618,1.996548653,2.979590178,-24.12321472,0,11.3003455,-119.4194489
0,0,2024,11.27921689,-24.22944069,-31.9058857,1.852071047,10.74391937,-24.14118958,0,11.29564779,-122.3448639
0,0,2025,11.27498118,-24.29205894,-29.15295219,1.893577576,18.49217033,-24.15906525,0,11.29117644,-125.2701492
