Theta (deg),Phi (deg),Frequency (MHz),Gain (dBi),Return Loss (dB),Return Loss (deg),Absolute Gain (dBi)
-180,0,2950,-7.863803562,-7.27399016,0,-6.962960476
-180,0,2965,-9.007717671,-7.44949178,0,-8.146342665
-180,0,2980,-6.973163291,-6.120866009,0,-5.75669006
-180,0,2995,-6.722999915,-6.652158691,0,-5.66524987
-180,0,3010,-8.189882687,-8.588639638,0,-7.542939677
-180,0,3025,-7.864689154,-9.772211367,0,-7.381050836
-180,0,3040,-10.11368054,-9.4397364,0,-9.589146805
-180,0,3055,-11.39181399,-8.679038554,0,-10.75921808
-180,0,3070,-12.08452558,-7.371365159,0,-11.20582188
-180,0,3085,-11.97607984,-6.513422329,0,-10.87927666
-180,0,3100,-9.779283279,-7.019814765,0,-8.817679314
-180,0,3115,-10.39201378,-9.962865888,0,-9.930293195
-180,0,3130,-8.364651921,-12.71607187,0,-8.125836041
-180,0,3145,-9.49815565,-9.595680086,0,-8.993241617
-180,0,3160,-10.40528679,-8.023855099,0,-9.660361339
-180,0,3175,-6.719644779,-7.16680609,0,-5.793715228
-180,0,3190,-6.864203519,-7.524888611,0,-6.019195112
-180,0,3205,-8.757806643,-10.46571235,0,-8.349024541
-180,0,3220,-11.56460818,-15.26734814,0,-11.43351268
-180,0,3235,-11.14404381,-11.52498691,0,-10.82705899
-180,0,3250,-10.60862897,-9.135739984,0,-10.04348217
-180,0,3265,-9.330556395,-7.989781118,0,-8.579225413
-180,0,3280,-7.190693427,-8.637028307,0,-6.551473143
-180,0,3295,-9.401461352,-13.28155095,0,-9.192515071
-180,0,3310,-7.54811239,-15.78948548,0,-7.432067753
-180,0,3325,-6.884745924,-9.637255918,0,-6.384930272
-180,0,3340,-10.71854082,-8.229316624,0,-10.01100354
-180,0,3355,-8.858879732,-9.198588086,0,-8.302395792
-180,0,3370,-7.86614562,-8.982346999,0,-7.279245502
-180,0,3385,-6.508425108,-10.98701002,0,-6.147857279
-180,0,3400,-15.14907865,-12.70010592,0,-14.90935846
-180,0,3415,-8.649298227,-8.892589182,0,-8.049255543
-180,0,3430,-9.086564678,-7.090353594,0,-8.142267616
